"","V162034a","V161006","V161086","V161087","V162255","V161019","V162146","V161235","V161126","V161158x","V161176","V161196","V161215","V161221","V161231","V161243","V161008","V161195","V161370","V161393","V161451","V161373","V161376","V161385","V161389","V161245","V161309","V161310a","V161310b","V161181","V161184","V161201","V161178"
"1291","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","1. Barack Obama",0,0,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","2. Liberal","4. Independent","5. Not at all","2. Oppose","1. Always","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","2. Two days","2. Should be allowed to live and work in the U.S.","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363d","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","3. Once or twice a month","2. No","0. Not selected","1. Selected",99,99,99,2
"1292","1. Hillary Clinton","1. Barack Obama",85,30,"2. Not a Muslim","1. Democratic party","3. Neither favor nor oppose","1. Better","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Strong Democrat","1. A great deal","2. Oppose","2. Most of the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","3. Three days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Every week","2. No","0. Not selected","1. Selected",2,1,1,3
"1293","2. Donald Trump","2. Mitt Romney",0,100,"2. Not a Muslim","2. Republican party","1. Favor","1. Better","7. Extremely conservative","7. Strong Republican","1. A great deal","1. Favor","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","1. Selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","1. Every week","2. No","1. Selected","0. Not selected",1,7,6,1
"1294","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","2. Mitt Romney",0,85,"-9. Refused","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","3. About the same","6. Conservative","7. Strong Republican","2. A lot","3. Neither favor nor oppose","3. About half the time","2. Probably hasn't been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","5. Five days","2. Should be allowed to live and work in the U.S.","1. Selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",6,5,4,3
"1295","-6. Unit nonresponse, no Post-Election interview","1. Barack Obama",85,0,"-6. No post-election interview","1. Democratic party","-6. No post-election interview","3. About the same","4. Moderate, middle of the road","1. Strong Democrat","1. A great deal","2. Oppose","3. About half the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","5. Five days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","1. Selected","0. Not selected","0. Not selected","0. Not selected","2. Almost every week","2. No","0. Not selected","1. Selected",6,1,1,5
"1296","1. Hillary Clinton","-1. Inap, 2,-8,-9 in V161005",85,0,"2. Not a Muslim","1. Democratic party","1. Favor","1. Better","2. Liberal","2. Not very strong Democract","2. A lot","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","3. Three days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","1. Selected","1. Selected","4. A few times a year","2. No","0. Not selected","0. Not selected",5,2,4,3
"1297","2. Donald Trump","2. Mitt Romney",20,60,"2. Not a Muslim","2. Republican party","1. Favor","2. Worse","6. Conservative","5. Independent-Republican","1. A great deal","1. Favor","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","1. Should be sent back where they came from","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","4. A few times a year","2. No","1. Selected","0. Not selected",6,7,6,1
"1298","1. Hillary Clinton","1. Barack Obama",60,60,"2. Not a Muslim","1. Democratic party","1. Favor","1. Better","1. Extremely liberal","1. Strong Democrat","1. A great deal","2. Oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",6,4,3,4
"1299","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",0,0,"2. Not a Muslim","2. Republican party","1. Favor","2. Worse","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","6. Not very strong Republican","3. A moderate amount","1. Favor","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","1. Should be sent back where they came from","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","2. Almost every week","2. No","1. Selected","0. Not selected",4,99,4,99
"1300","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",60,0,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","3. About the same","4. Moderate, middle of the road","3. Independent-Democrat","3. A moderate amount","2. Oppose","2. Most of the time","2. Probably hasn't been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","2. Two days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","1. Yes","0. Not selected","1. Selected",4,7,99,4
"1301","2. Donald Trump","2. Mitt Romney",2,70,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","3. Neither favor nor oppose","2. Worse","6. Conservative","7. Strong Republican","2. A lot","1. Favor","4. Some of the time","2. Probably hasn't been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","5. Five days","1. Should be sent back where they came from","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Every week","2. No","1. Selected","0. Not selected",4,7,2,2
"1302","1. Hillary Clinton","1. Barack Obama",70,0,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","3. Slightly liberal","1. Strong Democrat","5. Not at all","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","1. Selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",4,4,2,4
"1303","1. Hillary Clinton","1. Barack Obama",60,0,"2. Not a Muslim","2. Republican party","1. Favor","1. Better","4. Moderate, middle of the road","6. Not very strong Republican","5. Not at all","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",4,4,2,4
"1304","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","5. Other SPECIFY",30,40,"2. Not a Muslim","2. Republican party","1. Favor","1. Better","5. Slightly conservative","6. Not very strong Republican","3. A moderate amount","2. Oppose","4. Some of the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","5. Five days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","1. Every week","2. No","1. Selected","0. Not selected",4,6,6,2
"1305","1. Hillary Clinton","1. Barack Obama",85,60,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","3. Neither favor nor oppose","1. Better","4. Moderate, middle of the road","1. Strong Democrat","1. A great deal","2. Oppose","2. Most of the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Every week","2. No","1. Selected","0. Not selected",6,99,6,4
"1306","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","1. Barack Obama",85,40,"2. Not a Muslim","1. Democratic party","1. Favor","1. Better","4. Moderate, middle of the road","3. Independent-Democrat","2. A lot","2. Oppose","2. Most of the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","3. The Bible is a book written by men and is not the word of God.","4. Four days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","4. A few times a year","2. No","0. Not selected","0. Not selected",6,5,99,4
"1307","-6. Unit nonresponse, no Post-Election interview","1. Barack Obama",15,70,"-6. No post-election interview","2. Republican party","-6. No post-election interview","3. About the same","4. Moderate, middle of the road","4. Independent","4. A little","1. Favor","2. Most of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",3,6,2,3
"1308","2. Donald Trump","2. Mitt Romney",5,49,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","3. About the same","6. Conservative","7. Strong Republican","2. A lot","1. Favor","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","2. Almost every week","2. No","1. Selected","0. Not selected",4,6,1,1
"1309","2. Donald Trump","-1. Inap, 2,-8,-9 in V161005",0,85,"2. Not a Muslim","2. Republican party","1. Favor","2. Worse","6. Conservative","7. Strong Republican","1. A great deal","3. Neither favor nor oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","5. Five days","1. Should be sent back where they came from","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",6,7,4,4
"1310","2. Donald Trump","2. Mitt Romney",0,100,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","3. About the same","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","7. Strong Republican","2. A lot","1. Favor","5. Never","2. Probably hasn't been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","2. Almost every week","2. No","1. Selected","0. Not selected",99,7,7,1
